|stop|coordinates
251|Gerrard St East / Logan Ave|(43.6671084, -79.3451978)
252|Parliament St / Richmond St East|(43.6545571, -79.364001)
253|Gerrard St East / Sumach St|(43.66315549999999, -79.3614893)
254|St Clair Ave West / Bathurst St|(43.6830782, -79.4182617)
255|St Clair Station|(43.6874845, -79.3930467)
256|Fleet St / Bastion St|(43.6359882, -79.40359269999999)
257|Queen St East / Caroline Ave|(43.6621204, -79.3353068)
258|College St / Ossington Ave|(43.6543876, -79.4226798)
259|Spadina Ave / King St West|(43.64550450000001, -79.39492159999999)
260|King St West / Dunn Ave|(43.6377488, -79.4332591)
261|Queen St West / Beaty Ave|(43.6397102, -79.4411384)
262|Manitoba Dr / Strachan Ave West|(43.6361837, -79.4095991)
263|Queen St West / Dufferin St|(43.642226, -79.4286137)
264|Gerrard St East / Norwood Rd|(43.6833834, -79.302855)
265|King St East / River St|(43.656868, -79.3561681)
266|Exhibition Loop / Manitoba Dr|(43.6362392, -79.4155857)
267|Queen St West / Shaw St|(43.6447019, -79.41627869999999)
268|King St West / Portland St East|(43.6444455, -79.40005699999999)
269|Queen St East / Parliament St|(43.65560010000001, -79.3644429)
270|Fleet St / Bathurst St|(43.6367945, -79.3998864)
271|Queen St East / Bellefair Ave|(43.670084, -79.29982129999999)
272|Union Station|(43.645644, -79.380849)
273|Bay St / Adelaide St West|(43.6498929, -79.380774)
274|Queen St West / Ossington Ave|(43.644171, -79.4188508)
275|King St West / Jameson Ave|(43.637178, -79.436008)
276|Bathurst St / Harbord St|(43.6615246, -79.40975590000001)
277|The Queensway / Glendale Ave E Side / St Joseph's Health Ctr|(43.6392967, -79.44872420000002)
278|King St East / Ontario St|(43.6517703, -79.3660731)
279|Kingston Rd / Queen St East|(43.6672211, -79.3125987)
280|St Clair Ave East / Yonge St East|(43.6880291, -79.3940666)
281|The Queensway / Colborne Lodge Dr East|(43.639606, -79.4595894)
282|King St W / Yonge St East Side / King Station|(43.6491523, -79.37785989999999)
283|Fleet St / Strachan Ave|(43.6361837, -79.4095991)
284|Carlton St / Jarvis St|(43.66242, -79.3767079)
285|Queen St West / Triller Ave|(43.6392009, -79.4437714)
286|Queen St W / University Ave / Osgoode Station|(43.65061439999999, -79.38683139999999)
287|Bathurst St / Nassau St / Toronto Western Hosp|(43.6534492, -79.40547699999999)
288|Dundas St East / Broadview Ave|(43.6624664, -79.351366)
289|Bingham Loop|(43.681553, -79.284714)
290|The Queensway / Roncesvalles Ave|(43.6387919, -79.4461334)
